Date,ADM.L,AGK.L,ASCL.L,AV.L,AZN.L,BA.L,BARC.L,BRBY.L,CUK.L,DGE.L,FUTR.L,GSK.L,IAG.L,IHG.L,ITRK.L,JD.L,JMAT.L,LAND.L,LGEN.L,LLOY.L,MKS.L,MRO.L,NXT.L,PFC.L,PPH.L,RDSA.L,SNN.L,STAN.L,TIFS.L,UU.L,VOD.L,WEIR.L,WJG.L,XPP.L
2017-08-16,,793.099853515625,352.1824035644531,-729.1569213867188,4151.6396484375,542.9576416015625,187.69480895996094,1676.2271728515625,16461.5,2477.46044921875,254.6741943359375,1336.1217041015625,555.88525390625,4055.472900390625,4648.75146484375,,2596.33935546875,968.3170776367188,237.95022583007812,58.852447509765625,282.74017333984375,225.88705444335938,3975.26611328125,-531.804931640625,850.6305541992188,1868.6761474609375,693.4019165039062,736.7453002929688,,808.2271728515625,189.5458526611328,1667.63427734375,-228.83084106445312,2461.07861328125
2017-08-17,,781.083251953125,352.955810546875,-724.3326416015625,4164.185546875,537.50537109375,184.4224395751953,1672.4217529296875,16399.5,2469.342041015625,254.18051147460938,1337.8985595703125,550.1544799804688,4020.19287109375,4657.39697265625,,2656.67529296875,962.6708374023438,236.97647094726562,57.99689865112305,277.7783203125,222.18089294433594,3919.328857421875,-519.5439453125,855.3694458007812,1866.9190673828125,702.4505004882812,716.71533203125,,803.783935546875,188.00796508789062,1641.29833984375,-230.2468719482422,2428.57373046875
2017-08-18,,777.3858032226562,353.5358581542969,-719.50830078125,4132.5888671875,530.235595703125,182.9264678955078,1661.0059814453125,16248.0,2434.959716796875,252.8981475830078,1323.6844482421875,539.1338500976562,3955.67431640625,4643.94873046875,,2621.793212890625,942.9093627929688,236.1797637939453,57.55561828613281,276.03729248046875,218.85484313964844,3868.98583984375,-517.0669555664062,855.3694458007812,1857.6943359375,694.3544311523438,713.2977905273438,,797.5634155273438,187.15357971191406,1637.5360107421875,-226.84837341308594,2422.072509765625
2017-08-21,,780.62109375,352.859130859375,-718.8191528320312,4105.6396484375,532.5073852539062,180.6825714111328,1669.56787109375,16221.5,2445.94287109375,254.18051147460938,1314.3565673828125,543.5421142578125,3943.578857421875,4641.06591796875,,2606.709228515625,945.732421875,233.96665954589844,58.14999771118164,275.7761535644531,218.47470092773438,3881.10546875,-536.3873291015625,864.84716796875,1853.3013916015625,710.0702514648438,719.46826171875,,798.8963623046875,187.40988159179688,1630.9521484375,-227.98121643066406,2461.07861328125
2017-08-22,,789.8646240234375,356.3393859863281,-718.8191528320312,4120.5078125,541.1402587890625,180.72930908203125,1700.0101318359375,16369.5,2464.08935546875,254.5758056640625,1336.1217041015625,541.7787475585938,3934.50048828125,4723.6845703125,,2648.1904296875,953.2577514648438,233.87815856933594,58.57326889038086,277.8653564453125,220.75543212890625,3892.29248046875,-547.7813720703125,867.2166137695312,1863.843994140625,723.881103515625,726.3980712890625,,811.3374633789062,188.94778442382812,1646.9417724609375,-228.26441955566406,2473.151611328125
2017-08-23,,794.0242309570312,352.955810546875,-714.6840209960938,4177.19580078125,537.959716796875,180.30856323242188,1684.7890625,16376.5,2462.65673828125,252.60211181640625,1347.670654296875,539.5746459960938,3908.2890625,4726.56689453125,,2662.331787109375,945.732421875,232.992919921875,58.8974723815918,280.8250732421875,220.56539916992188,3874.579345703125,-544.9329223632812,864.84716796875,1879.6580810546875,724.357421875,728.1068115234375,,809.1157836914062,188.17881774902344,1660.1097412109375,-222.6002960205078,2478.72412109375
2017-08-24,,784.3184814453125,353.82586669921875,-720.88671875,4218.54931640625,547.046875,181.85125732421875,1691.447998046875,16448.5,2454.06103515625,251.8124542236328,1353.0009765625,544.8645629882812,3893.16748046875,4752.50537109375,,2670.816162109375,947.6114501953125,234.32078552246094,58.294090270996094,275.42791748046875,223.51132202148438,3826.100341796875,-522.6401977539062,864.84716796875,1875.2652587890625,742.9306640625,737.3148803710938,,812.6704711914062,187.8798065185547,1682.6834716796875,-225.998779296875,2479.65234375
2017-08-25,,782.4698486328125,358.0794982910156,-718.8191528320312,4180.4482421875,544.3207397460938,181.6642608642578,1699.0587158203125,16435.5,2452.62841796875,253.9838104248047,1349.8917236328125,543.5421142578125,3883.093017578125,4753.46630859375,,2648.1904296875,930.2054443359375,232.992919921875,58.45619583129883,272.38116455078125,223.4163055419922,3862.459716796875,-530.1948852539062,871.95556640625,1882.2938232421875,742.454345703125,737.694580078125,,811.3374633789062,187.62350463867188,1705.25732421875,-224.2995147705078,2466.651123046875
2017-08-29,,796.79736328125,352.1824035644531,-712.616455078125,4173.94287109375,536.1422119140625,177.97116088867188,1681.9349365234375,16282.5,2432.09423828125,253.39178466796875,1331.2357177734375,537.3704833984375,3842.76513671875,4770.7587890625,,2636.877685546875,932.0845947265625,229.36346435546875,57.501583099365234,273.77398681640625,217.42938232421875,3785.080078125,-524.1264038085938,871.95556640625,1869.1151123046875,737.6920166015625,728.771240234375,,808.6715087890625,185.10302734375,1644.1199951171875,-224.58273315429688,2414.642822265625
2017-08-30,,816.671142578125,359.52960205078125,-712.616455078125,4138.1650390625,547.9556274414062,178.2983856201172,1691.447998046875,16348.5,2442.60009765625,252.60211181640625,1347.670654296875,529.8763427734375,3858.892578125,4822.6357421875,,2598.224609375,940.5538330078125,229.54051208496094,57.27643966674805,276.385498046875,217.904541015625,3772.02783203125,-512.1130981445312,874.3250732421875,1867.7974853515625,722.9286499023438,733.327880859375,,809.5602416992188,186.72637939453125,1672.337158203125,-234.4949493408203,2461.07861328125
